value(v("/Vcmp" ?result "tran") 5e-08) X,value(v("/Vcmp" ?result "tran") 5e-08) Y
0.995,1.196260877058677
0.9955263,1.196231245301693
0.9960526,1.196201184264835
0.9965789,1.196170684363933
0.9971053,1.196139735715353
0.9976316,1.196108328123457
0.9981579,1.196076451065802
0.9986842,1.196044093682269
0.9992105,0.04442635215247991
0.9997368,0.04441109896477521
1.000263,0.04439589912409554
1.000789,0.0443807523455625
1.001316,0.04436565834652545
1.001842,0.04435061684637396
1.002368,0.04433562756671345
1.002895,0.04432069023109339
1.003421,0.04430580456521324
1.003947,0.04429097029675438
1.004474,0.04427618715546596
1.005,0.04426145487297038
